Pixel,Coord,True,Sig,SHAP_R,SHAP,P_Value,P_Adj,-log10(p),SiTe_Score,SiTe_R
594,"(21,6)",,,431,0.1586,0.8465,0.9993,0.0724,0.0000,595
595,"(21,7)",,,715,0.1488,0.6238,0.9993,0.2049,0.0000,596
596,"(21,8)",,,225,0.1645,0.8912,0.9993,0.0500,0.0000,597
597,"(21,9)",,,297,0.1622,0.7688,0.9993,0.1142,0.0000,598
598,"(21,10)",,,114,0.1695,0.8748,0.9993,0.0581,0.0000,599
599,"(21,11)",,,587,0.1537,0.6940,0.9993,0.1587,0.0000,600
600,"(21,12)",,,302,0.1621,0.7550,0.9993,0.1221,0.0000,601
601,"(21,13)",,,216,0.1647,0.8704,0.9993,0.0603,0.0000,602
602,"(21,14)",,,496,0.1565,0.8263,0.9993,0.0829,0.0000,603
603,"(21,15)",,,27,0.1803,0.7063,0.9993,0.1510,0.0000,604
604,"(21,16)",,,346,0.1608,0.9093,0.9993,0.0413,0.0000,605
605,"(21,17)",,,338,0.1610,0.9139,0.9993,0.0391,0.0000,606
606,"(21,18)",,,747,0.1453,0.8321,0.9993,0.0799,0.0000,607
607,"(21,19)",,,598,0.1534,0.7872,0.9993,0.1039,0.0000,608
608,"(21,20)",,,594,0.1535,0.8178,0.9993,0.0874,0.0000,609
609,"(21,21)",,,631,0.1520,0.7800,0.9993,0.1079,0.0000,610
610,"(21,22)",,,396,0.1593,0.7480,0.9993,0.1261,0.0000,611
611,"(21,23)",,,190,0.1657,0.7797,0.9993,0.1081,0.0000,612
612,"(21,24)",,,76,0.1719,0.7336,0.9993,0.1346,0.0000,613
613,"(21,25)",,,364,0.1604,0.8448,0.9993,0.0732,0.0000,614
614,"(21,26)",,,577,0.1541,0.8414,0.9993,0.0750,0.0000,615
615,"(21,27)",,,116,0.1693,0.8107,0.9993,0.0911,0.0000,616
616,"(22,0)",,,599,0.1533,0.6425,0.9993,0.1921,0.0000,617
617,"(22,1)",,,175,0.1664,0.6867,0.9993,0.1632,0.0000,618
618,"(22,2)",,,170,0.1666,0.7760,0.9993,0.1101,0.0000,619
619,"(22,3)",,,13,0.2013,0.9038,0.9993,0.0439,0.0000,620
620,"(22,4)",,,253,0.1636,0.9132,0.9993,0.0394,0.0000,621
621,"(22,5)",,,728,0.1477,0.6820,0.9993,0.1662,0.0000,622
622,"(22,6)",,,691,0.1497,0.6592,0.9993,0.1810,0.0000,623
623,"(22,7)",,,256,0.1636,0.8256,0.9993,0.0832,0.0000,624
624,"(22,8)",,,393,0.1594,0.8356,0.9993,0.0780,0.0000,625
625,"(22,9)",,,561,0.1547,0.7598,0.9993,0.1193,0.0000,626
626,"(22,10)",,,569,0.1543,0.7215,0.9993,0.1417,0.0000,627
627,"(22,11)",,,117,0.1693,0.8079,0.9993,0.0926,0.0000,628
628,"(22,12)",,,439,0.1584,0.8547,0.9993,0.0682,0.0000,629
629,"(22,13)",,,781,0.1373,0.8432,0.9993,0.0741,0.0000,630
630,"(22,14)",,,233,0.1642,0.7257,0.9993,0.1392,0.0000,631
631,"(22,15)",,,62,0.1734,0.8157,0.9993,0.0885,0.0000,632
632,"(22,16)",,,759,0.1435,0.8556,0.9993,0.0677,0.0000,633
633,"(22,17)",,,332,0.1612,0.8714,0.9993,0.0598,0.0000,634
634,"(22,18)",,,499,0.1565,0.7750,0.9993,0.1107,0.0000,635
635,"(22,19)",,,524,0.1556,0.8385,0.9993,0.0765,0.0000,636
636,"(22,20)",,,421,0.1588,0.9082,0.9993,0.0418,0.0000,637
637,"(22,21)",,,45,0.1761,0.7977,0.9993,0.0981,0.0000,638
638,"(22,22)",,,687,0.1498,0.8179,0.9993,0.0873,0.0000,639
639,"(22,23)",,,70,0.1726,0.8424,0.9993,0.0745,0.0000,640
640,"(22,24)",,,635,0.1519,0.8225,0.9993,0.0848,0.0000,641
641,"(22,25)",,,306,0.1619,0.6517,0.9993,0.1860,0.0000,642
642,"(22,26)",,,671,0.1506,0.8616,0.9993,0.0647,0.0000,643
643,"(22,27)",,,188,0.1658,0.7488,0.9993,0.1256,0.0000,644
644,"(23,0)",,,619,0.1525,0.7972,0.9993,0.0984,0.0000,645
645,"(23,1)",,,509,0.1562,0.7467,0.9993,0.1268,0.0000,646
646,"(23,2)",,,489,0.1568,0.8423,0.9993,0.0745,0.0000,647
647,"(23,3)",,,688,0.1498,0.8389,0.9993,0.0763,0.0000,648
648,"(23,4)",,,105,0.1698,0.9020,0.9993,0.0448,0.0000,649
649,"(23,5)",,,727,0.1478,0.8925,0.9993,0.0494,0.0000,650
650,"(23,6)",,,7,0.2276,0.8241,0.9993,0.0840,0.0000,651
651,"(23,7)",,,529,0.1555,0.6853,0.9993,0.1641,0.0000,652
652,"(23,8)",,,242,0.1640,0.9228,0.9993,0.0349,0.0000,653
653,"(23,9)",,,84,0.1708,0.8793,0.9993,0.0558,0.0000,654
654,"(23,10)",,,1,0.6793,0.8559,0.9993,0.0676,0.0000,655
655,"(23,11)",,,35,0.1781,0.8017,0.9993,0.0960,0.0000,656
656,"(23,12)",,,680,0.1502,0.7390,0.9993,0.1314,0.0000,657
657,"(23,13)",,,174,0.1665,0.9054,0.9993,0.0431,0.0000,658
658,"(23,14)",,,563,0.1547,0.6995,0.9993,0.1552,0.0000,659
659,"(23,15)",,,180,0.1661,0.8592,0.9993,0.0659,0.0000,660
660,"(23,16)",,,453,0.1581,0.8427,0.9993,0.0743,0.0000,661
661,"(23,17)",,,19,0.1861,0.8010,0.9993,0.0964,0.0000,662
662,"(23,18)",,,472,0.1574,0.8972,0.9993,0.0471,0.0000,663
663,"(23,19)",,,63,0.1733,0.7734,0.9993,0.1116,0.0000,664
664,"(23,20)",,,3,0.2807,0.9484,0.9993,0.0230,0.0000,665
665,"(23,21)",,,562,0.1547,0.8588,0.9993,0.0661,0.0000,666
666,"(23,22)",,,74,0.1721,0.8511,0.9993,0.0700,0.0000,667
667,"(23,23)",,,484,0.1568,0.7545,0.9993,0.1224,0.0000,668
668,"(23,24)",,,328,0.1613,0.9287,0.9993,0.0321,0.0000,669
669,"(23,25)",,,257,0.1635,0.8720,0.9993,0.0595,0.0000,670
670,"(23,26)",,,237,0.1641,0.8930,0.9993,0.0492,0.0000,671
671,"(23,27)",,,275,0.1631,0.8535,0.9993,0.0688,0.0000,672
672,"(24,0)",,,703,0.1492,0.8380,0.9993,0.0767,0.0000,673
673,"(24,1)",,,618,0.1525,0.8126,0.9993,0.0901,0.0000,674
674,"(24,2)",,,708,0.1491,0.9071,0.9993,0.0424,0.0000,675
675,"(24,3)",,,99,0.1701,0.9097,0.9993,0.0411,0.0000,676
676,"(24,4)",,,82,0.1711,0.9356,0.9993,0.0289,0.0000,677
677,"(24,5)",,,537,0.1554,0.9394,0.9993,0.0272,0.0000,678
678,"(24,6)",,,400,0.1592,0.7607,0.9993,0.1188,0.0000,679
679,"(24,7)",,,583,0.1538,0.8171,0.9993,0.0877,0.0000,680
680,"(24,8)",,,505,0.1563,0.9346,0.9993,0.0294,0.0000,681
681,"(24,9)",,,72,0.1721,0.8227,0.9993,0.0848,0.0000,682
682,"(24,10)",,,2,0.6472,0.8480,0.9993,0.0716,0.0000,683
683,"(24,11)",,,124,0.1689,0.8782,0.9993,0.0564,0.0000,684
684,"(24,12)",,,611,0.1529,0.8965,0.9993,0.0475,0.0000,685
685,"(24,13)",,,780,0.1375,0.9171,0.9993,0.0376,0.0000,686
686,"(24,14)",,,211,0.1649,0.9195,0.9993,0.0364,0.0000,687
687,"(24,15)",,,382,0.1597,0.8310,0.9993,0.0804,0.0000,688
688,"(24,16)",,,29,0.1799,0.9468,0.9993,0.0238,0.0000,689
689,"(24,17)",,,17,0.1875,0.9346,0.9993,0.0294,0.0000,690
690,"(24,18)",,,541,0.1553,0.9705,0.9993,0.0130,0.0000,691
691,"(24,19)",,,213,0.1648,0.8813,0.9993,0.0549,0.0000,692
692,"(24,20)",,,36,0.1779,0.9521,0.9993,0.0213,0.0000,693
693,"(24,21)",,,667,0.1507,0.9070,0.9993,0.0424,0.0000,694
694,"(24,22)",,,418,0.1589,0.9792,0.9993,0.0091,0.0000,695
695,"(24,23)",,,101,0.1700,0.8847,0.9993,0.0532,0.0000,696
696,"(24,24)",,,391,0.1594,0.8820,0.9993,0.0545,0.0000,697
697,"(24,25)",,,123,0.1689,0.9072,0.9993,0.0423,0.0000,698
698,"(24,26)",,,150,0.1675,0.9187,0.9993,0.0368,0.0000,699
699,"(24,27)",,,378,0.1598,0.8847,0.9993,0.0532,0.0000,700
700,"(25,0)",,,69,0.1726,0.8777,0.9993,0.0567,0.0000,701
701,"(25,1)",,,254,0.1636,0.7022,0.9993,0.1535,0.0000,702
702,"(25,2)",,,717,0.1487,0.8467,0.9993,0.0723,0.0000,703
703,"(25,3)",,,673,0.1504,0.9459,0.9993,0.0242,0.0000,704
704,"(25,4)",,,64,0.1733,0.9241,0.9993,0.0343,0.0000,705
705,"(25,5)",,,243,0.1640,0.8801,0.9993,0.0555,0.0000,706
706,"(25,6)",,,493,0.1566,0.9363,0.9993,0.0286,0.0000,707
707,"(25,7)",,,26,0.1807,0.9674,0.9993,0.0144,0.0000,708
708,"(25,8)",,,706,0.1492,0.8363,0.9993,0.0777,0.0000,709
709,"(25,9)",,,172,0.1666,0.8930,0.9993,0.0491,0.0000,710
710,"(25,10)",,,90,0.1706,0.8704,0.9993,0.0603,0.0000,711
711,"(25,11)",,,744,0.1459,0.9016,0.9993,0.0450,0.0000,712
712,"(25,12)",,,223,0.1645,0.7711,0.9993,0.1129,0.0000,713
713,"(25,13)",,,111,0.1696,0.9246,0.9993,0.0340,0.0000,714
714,"(25,14)",,,331,0.1612,0.9020,0.9993,0.0448,0.0000,715
715,"(25,15)",,,92,0.1705,0.8702,0.9993,0.0604,0.0000,716
716,"(25,16)",,,697,0.1495,0.8010,0.9993,0.0964,0.0000,717
717,"(25,17)",,,186,0.1660,0.9057,0.9993,0.0430,0.0000,718
718,"(25,18)",,,9,0.2213,0.9356,0.9993,0.0289,0.0000,719
719,"(25,19)",,,676,0.1503,0.9696,0.9993,0.0134,0.0000,720
720,"(25,20)",,,689,0.1498,0.8889,0.9993,0.0511,0.0000,721
721,"(25,21)",,,660,0.1510,0.9520,0.9993,0.0214,0.0000,722
722,"(25,22)",,,334,0.1611,0.8906,0.9993,0.0503,0.0000,723
723,"(25,23)",,,89,0.1707,0.8503,0.9993,0.0704,0.0000,724
724,"(25,24)",,,672,0.1505,0.9498,0.9993,0.0224,0.0000,725
725,"(25,25)",,,503,0.1564,0.7380,0.9993,0.1320,0.0000,726
726,"(25,26)",,,551,0.1550,0.9089,0.9993,0.0415,0.0000,727
727,"(25,27)",,,624,0.1524,0.8958,0.9993,0.0478,0.0000,728
728,"(26,0)",,,661,0.1509,0.6531,0.9993,0.1850,0.0000,729
729,"(26,1)",,,483,0.1568,0.9319,0.9993,0.0306,0.0000,730
730,"(26,2)",,,581,0.1539,0.9549,0.9993,0.0200,0.0000,731
731,"(26,3)",,,554,0.1549,0.8720,0.9993,0.0595,0.0000,732
732,"(26,4)",,,531,0.1555,0.8835,0.9993,0.0538,0.0000,733
733,"(26,5)",,,649,0.1516,0.9810,0.9993,0.0083,0.0000,734
734,"(26,6)",,,527,0.1555,0.7249,0.9993,0.1397,0.0000,735
735,"(26,7)",,,107,0.1697,0.9547,0.9993,0.0201,0.0000,736
736,"(26,8)",,,513,0.1559,0.9654,0.9993,0.0153,0.0000,737
737,"(26,9)",,,677,0.1503,0.9117,0.9993,0.0401,0.0000,738
738,"(26,10)",,,307,0.1618,0.9363,0.9993,0.0286,0.0000,739
739,"(26,11)",,,733,0.1472,0.9222,0.9993,0.0352,0.0000,740
740,"(26,12)",,,48,0.1755,0.9631,0.9993,0.0163,0.0000,741
741,"(26,13)",,,470,0.1575,0.9207,0.9993,0.0359,0.0000,742
742,"(26,14)",,,627,0.1522,0.9329,0.9993,0.0302,0.0000,743
743,"(26,15)",,,401,0.1592,0.9813,0.9993,0.0082,0.0000,744
744,"(26,16)",,,621,0.1524,0.9432,0.9993,0.0254,0.0000,745
745,"(26,17)",,,51,0.1754,0.9145,0.9993,0.0388,0.0000,746
746,"(26,18)",,,381,0.1597,0.9765,0.9993,0.0103,0.0000,747
747,"(26,19)",,,623,0.1524,0.9608,0.9993,0.0174,0.0000,748
748,"(26,20)",,,309,0.1618,0.9636,0.9993,0.0161,0.0000,749
749,"(26,21)",,,582,0.1538,0.9228,0.9993,0.0349,0.0000,750
750,"(26,22)",,,784,0.1334,0.9929,0.9993,0.0031,0.0000,751
751,"(26,23)",,,519,0.1557,0.9813,0.9993,0.0082,0.0000,752
752,"(26,24)",,,271,0.1631,0.9670,0.9993,0.0146,0.0000,753
753,"(26,25)",,,647,0.1517,0.9558,0.9993,0.0196,0.0000,754
754,"(26,26)",,,669,0.1507,0.9581,0.9993,0.0186,0.0000,755
755,"(26,27)",,,607,0.1530,0.9124,0.9993,0.0398,0.0000,756
756,"(27,0)",,,608,0.1530,0.9537,0.9993,0.0206,0.0000,757
757,"(27,1)",,,754,0.1439,0.9773,0.9993,0.0100,0.0000,758
758,"(27,2)",,,160,0.1670,0.9606,0.9993,0.0175,0.0000,759
759,"(27,3)",,,281,0.1628,0.9330,0.9993,0.0301,0.0000,760
760,"(27,4)",,,711,0.1490,0.9247,0.9993,0.0340,0.0000,761
761,"(27,5)",,,374,0.1600,0.9630,0.9993,0.0164,0.0000,762
762,"(27,6)",,,564,0.1547,0.9879,0.9993,0.0053,0.0000,763
763,"(27,7)",,,285,0.1628,0.9914,0.9993,0.0038,0.0000,764
764,"(27,8)",,,86,0.1707,0.9922,0.9993,0.0034,0.0000,765
765,"(27,9)",,,201,0.1654,0.9666,0.9993,0.0148,0.0000,766
766,"(27,10)",,,106,0.1698,0.9560,0.9993,0.0195,0.0000,767
767,"(27,11)",,,558,0.1548,0.9820,0.9993,0.0079,0.0000,768
768,"(27,12)",,,739,0.1464,0.9905,0.9993,0.0041,0.0000,769
769,"(27,13)",,,543,0.1553,0.9913,0.9993,0.0038,0.0000,770
770,"(27,14)",,,536,0.1554,0.9862,0.9993,0.0060,0.0000,771
771,"(27,15)",,,361,0.1605,0.9879,0.9993,0.0053,0.0000,772
772,"(27,16)",,,465,0.1577,0.9908,0.9993,0.0040,0.0000,773
773,"(27,17)",,,722,0.1482,0.9845,0.9993,0.0068,0.0000,774
774,"(27,18)",,,53,0.1750,0.9902,0.9993,0.0043,0.0000,775
775,"(27,19)",,,93,0.1705,0.9918,0.9993,0.0036,0.0000,776
776,"(27,20)",,,343,0.1609,0.9918,0.9993,0.0036,0.0000,777
777,"(27,21)",,,409,0.1590,0.9908,0.9993,0.0040,0.0000,778
778,"(27,22)",,,476,0.1572,0.9920,0.9993,0.0035,0.0000,779
779,"(27,23)",,,43,0.1763,0.9980,0.9993,0.0009,0.0000,780
780,"(27,24)",,,658,0.1512,0.9949,0.9993,0.0022,0.0000,781
781,"(27,25)",,,714,0.1489,0.9993,0.9993,0.0003,0.0000,782
782,"(27,26)",,,244,0.1640,0.9957,0.9993,0.0019,0.0000,783
783,"(27,27)",,,310,0.1618,0.9988,0.9993,0.0005,0.0000,784
