Feature,True,Sig,SHAP_Rank,SHAP_Value,P_Value,P_Value_Adj,-log10(p),-log10(p_adj),SiTe_Score,SiTe_Rank
pixel_0619,,,362,0.0007,1.0000,1.0000,-0.00,-0.00,-0.0000,426
pixel_0354,,,551,0.0004,1.0000,1.0000,-0.00,-0.00,-0.0000,427
pixel_0113,,,728,0.0001,1.0000,1.0000,-0.00,-0.00,-0.0000,428
pixel_0602,,,250,0.0009,1.0000,1.0000,-0.00,-0.00,-0.0000,429
pixel_0166,[T],,79,0.0018,1.0000,1.0000,-0.00,-0.00,-0.0000,430
pixel_0136,,,97,0.0017,1.0000,1.0000,-0.00,-0.00,-0.0000,431
pixel_0110,,,690,0.0002,1.0000,1.0000,-0.00,-0.00,-0.0000,432
pixel_0421,,,783,0.0000,1.0000,1.0000,-0.00,-0.00,-0.0000,433
pixel_0304,,,155,0.0013,1.0000,1.0000,-0.00,-0.00,-0.0000,434
pixel_0366,,,5,0.0049,1.0000,1.0000,-0.00,-0.00,-0.0000,435
pixel_0201,,,482,0.0005,1.0000,1.0000,-0.00,-0.00,-0.0000,436
pixel_0348,,,621,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,437
pixel_0406,,,92,0.0017,1.0000,1.0000,-0.00,-0.00,-0.0000,438
pixel_0645,,,285,0.0008,1.0000,1.0000,-0.00,-0.00,-0.0000,439
pixel_0397,,,497,0.0004,1.0000,1.0000,-0.00,-0.00,-0.0000,440
pixel_0010,,,307,0.0008,1.0000,1.0000,-0.00,-0.00,-0.0000,441
pixel_0414,,,42,0.0027,1.0000,1.0000,-0.00,-0.00,-0.0000,442
pixel_0507,,,681,0.0002,1.0000,1.0000,-0.00,-0.00,-0.0000,443
pixel_0606,,,708,0.0001,1.0000,1.0000,-0.00,-0.00,-0.0000,444
pixel_0019,,,711,0.0001,1.0000,1.0000,-0.00,-0.00,-0.0000,445
pixel_0089,,,135,0.0014,1.0000,1.0000,-0.00,-0.00,-0.0000,446
pixel_0559,,,448,0.0005,1.0000,1.0000,-0.00,-0.00,-0.0000,447
pixel_0558,,,71,0.0019,1.0000,1.0000,-0.00,-0.00,-0.0000,448
pixel_0077,,,163,0.0013,1.0000,1.0000,-0.00,-0.00,-0.0000,449
pixel_0742,,,372,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,450
pixel_0175,,,1,0.0084,1.0000,1.0000,-0.00,-0.00,-0.0000,451
pixel_0545,,,330,0.0007,1.0000,1.0000,-0.00,-0.00,-0.0000,452
pixel_0372,,,569,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,453
pixel_0480,,,63,0.0021,1.0000,1.0000,-0.00,-0.00,-0.0000,454
pixel_0147,,,534,0.0004,1.0000,1.0000,-0.00,-0.00,-0.0000,455
pixel_0633,[T],,60,0.0021,1.0000,1.0000,-0.00,-0.00,-0.0000,456
pixel_0231,,,161,0.0013,1.0000,1.0000,-0.00,-0.00,-0.0000,457
pixel_0294,,,75,0.0019,1.0000,1.0000,-0.00,-0.00,-0.0000,458
pixel_0479,,,655,0.0002,1.0000,1.0000,-0.00,-0.00,-0.0000,459
pixel_0046,,,423,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,460
pixel_0505,,,729,0.0001,1.0000,1.0000,-0.00,-0.00,-0.0000,461
pixel_0143,,,58,0.0022,1.0000,1.0000,-0.00,-0.00,-0.0000,462
pixel_0341,,,520,0.0004,1.0000,1.0000,-0.00,-0.00,-0.0000,463
pixel_0556,,,429,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,464
pixel_0702,,,116,0.0015,1.0000,1.0000,-0.00,-0.00,-0.0000,465
pixel_0011,,,467,0.0005,1.0000,1.0000,-0.00,-0.00,-0.0000,466
pixel_0229,,,474,0.0005,1.0000,1.0000,-0.00,-0.00,-0.0000,467
pixel_0524,,,491,0.0005,1.0000,1.0000,-0.00,-0.00,-0.0000,468
pixel_0331,,,600,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,469
pixel_0460,,,282,0.0009,1.0000,1.0000,-0.00,-0.00,-0.0000,470
pixel_0427,,,290,0.0008,1.0000,1.0000,-0.00,-0.00,-0.0000,471
pixel_0378,,,393,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,472
pixel_0170,,,531,0.0004,1.0000,1.0000,-0.00,-0.00,-0.0000,473
pixel_0567,,,580,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,474
pixel_0591,,,609,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,475
pixel_0413,,,680,0.0002,1.0000,1.0000,-0.00,-0.00,-0.0000,476
pixel_0239,,,254,0.0009,1.0000,1.0000,-0.00,-0.00,-0.0000,477
pixel_0663,,,422,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,478
pixel_0325,,,191,0.0011,1.0000,1.0000,-0.00,-0.00,-0.0000,479
pixel_0157,,,740,0.0000,1.0000,1.0000,-0.00,-0.00,-0.0000,480
pixel_0165,,,745,0.0000,1.0000,1.0000,-0.00,-0.00,-0.0000,481
pixel_0185,,,590,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,482
pixel_0060,,,499,0.0004,1.0000,1.0000,-0.00,-0.00,-0.0000,483
pixel_0048,,,473,0.0005,1.0000,1.0000,-0.00,-0.00,-0.0000,484
pixel_0319,,,456,0.0005,1.0000,1.0000,-0.00,-0.00,-0.0000,485
pixel_0660,,,51,0.0025,1.0000,1.0000,-0.00,-0.00,-0.0000,486
pixel_0554,,,339,0.0007,1.0000,1.0000,-0.00,-0.00,-0.0000,487
pixel_0444,,,377,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,488
pixel_0173,,,353,0.0007,1.0000,1.0000,-0.00,-0.00,-0.0000,489
pixel_0634,,,294,0.0008,1.0000,1.0000,-0.00,-0.00,-0.0000,490
pixel_0443,[T],,349,0.0007,1.0000,1.0000,-0.00,-0.00,-0.0000,491
pixel_0705,,,521,0.0004,1.0000,1.0000,-0.00,-0.00,-0.0000,492
pixel_0672,,,485,0.0005,1.0000,1.0000,-0.00,-0.00,-0.0000,493
pixel_0158,,,244,0.0009,1.0000,1.0000,-0.00,-0.00,-0.0000,494
pixel_0650,,,641,0.0002,1.0000,1.0000,-0.00,-0.00,-0.0000,495
pixel_0200,,,401,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,496
pixel_0016,,,245,0.0009,1.0000,1.0000,-0.00,-0.00,-0.0000,497
pixel_0763,,,676,0.0002,1.0000,1.0000,-0.00,-0.00,-0.0000,498
pixel_0699,,,80,0.0018,1.0000,1.0000,-0.00,-0.00,-0.0000,499
pixel_0592,,,503,0.0004,1.0000,1.0000,-0.00,-0.00,-0.0000,500
pixel_0144,,,228,0.0010,1.0000,1.0000,-0.00,-0.00,-0.0000,501
pixel_0152,,,539,0.0004,1.0000,1.0000,-0.00,-0.00,-0.0000,502
pixel_0141,,,586,0.0003,1.0000,1.0000,0.00,-0.00,-0.0000,503
pixel_0732,,,111,0.0016,1.0000,1.0000,0.00,-0.00,-0.0000,504
pixel_0353,,,273,0.0009,1.0000,1.0000,-0.00,-0.00,-0.0000,505
pixel_0020,,,738,0.0001,1.0000,1.0000,-0.00,-0.00,-0.0000,506
pixel_0415,,,579,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,507
pixel_0416,,,775,0.0000,1.0000,1.0000,-0.00,-0.00,-0.0000,508
pixel_0431,,,481,0.0005,1.0000,1.0000,0.00,-0.00,-0.0000,509
pixel_0122,,,190,0.0011,1.0000,1.0000,-0.00,-0.00,-0.0000,510
pixel_0189,,,271,0.0009,1.0000,1.0000,0.00,-0.00,-0.0000,511
pixel_0593,,,224,0.0010,1.0000,1.0000,0.00,-0.00,-0.0000,512
pixel_0130,,,466,0.0005,1.0000,1.0000,-0.00,-0.00,-0.0000,513
pixel_0309,,,73,0.0019,1.0000,1.0000,0.00,-0.00,-0.0000,514
pixel_0520,,,677,0.0002,1.0000,1.0000,-0.00,-0.00,-0.0000,515
pixel_0738,,,368,0.0007,1.0000,1.0000,0.00,-0.00,-0.0000,516
pixel_0557,,,82,0.0018,1.0000,1.0000,-0.00,-0.00,-0.0000,517
pixel_0442,,,427,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,518
pixel_0475,,,350,0.0007,1.0000,1.0000,0.00,-0.00,-0.0000,519
pixel_0071,,,237,0.0010,1.0000,1.0000,-0.00,-0.00,-0.0000,520
pixel_0783,,,684,0.0002,1.0000,1.0000,-0.00,-0.00,-0.0000,521
pixel_0514,,,347,0.0007,1.0000,1.0000,-0.00,-0.00,-0.0000,522
pixel_0497,,,247,0.0009,1.0000,1.0000,0.00,-0.00,-0.0000,523
pixel_0135,,,364,0.0007,1.0000,1.0000,0.00,-0.00,-0.0000,524
pixel_0057,,,731,0.0001,1.0000,1.0000,-0.00,-0.00,-0.0000,525
pixel_0083,,,449,0.0005,1.0000,1.0000,0.00,-0.00,-0.0000,526
pixel_0260,,,27,0.0031,1.0000,1.0000,0.00,-0.00,-0.0000,527
pixel_0666,,,37,0.0029,1.0000,1.0000,-0.00,-0.00,-0.0000,528
pixel_0209,[T],,70,0.0019,1.0000,1.0000,0.00,-0.00,-0.0000,529
pixel_0777,,,413,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,530
pixel_0313,,,322,0.0008,1.0000,1.0000,0.00,-0.00,-0.0000,531
pixel_0350,,,409,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,532
pixel_0580,,,382,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,533
pixel_0745,,,249,0.0009,1.0000,1.0000,-0.00,-0.00,-0.0000,534
pixel_0779,,,475,0.0005,1.0000,1.0000,0.00,-0.00,-0.0000,535
pixel_0153,,,230,0.0010,1.0000,1.0000,-0.00,-0.00,-0.0000,536
pixel_0276,,,225,0.0010,1.0000,1.0000,-0.00,-0.00,-0.0000,537
pixel_0253,,,137,0.0014,1.0000,1.0000,0.00,-0.00,-0.0000,538
pixel_0007,,,126,0.0014,1.0000,1.0000,0.00,-0.00,-0.0000,539
pixel_0332,,,19,0.0034,1.0000,1.0000,0.00,-0.00,-0.0000,540
pixel_0716,[T],,618,0.0003,1.0000,1.0000,0.00,-0.00,-0.0000,541
pixel_0127,,,510,0.0004,1.0000,1.0000,0.00,-0.00,-0.0000,542
pixel_0314,,,68,0.0020,1.0000,1.0000,-0.00,-0.00,-0.0000,543
pixel_0458,,,275,0.0009,1.0000,1.0000,-0.00,-0.00,-0.0000,544
pixel_0678,,,69,0.0020,1.0000,1.0000,0.00,-0.00,-0.0000,545
pixel_0408,,,761,0.0000,1.0000,1.0000,0.00,-0.00,-0.0000,546
pixel_0410,,,194,0.0011,0.9999,1.0000,0.00,-0.00,-0.0000,547
pixel_0363,,,187,0.0011,1.0000,1.0000,0.00,-0.00,-0.0000,548
pixel_0263,,,220,0.0010,1.0000,1.0000,-0.00,-0.00,-0.0000,549
pixel_0156,,,239,0.0010,1.0000,1.0000,0.00,-0.00,-0.0000,550
pixel_0620,,,597,0.0003,1.0000,1.0000,0.00,-0.00,-0.0000,551
pixel_0597,,,583,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,552
pixel_0370,,,110,0.0016,0.9992,1.0000,0.00,-0.00,-0.0000,553
pixel_0658,,,358,0.0007,1.0000,1.0000,0.00,-0.00,-0.0000,554
pixel_0659,,,712,0.0001,1.0000,1.0000,0.00,-0.00,-0.0000,555
pixel_0393,,,438,0.0005,1.0000,1.0000,0.00,-0.00,-0.0000,556
pixel_0639,,,735,0.0001,1.0000,1.0000,0.00,-0.00,-0.0000,557
pixel_0494,,,682,0.0002,1.0000,1.0000,0.00,-0.00,-0.0000,558
pixel_0379,,,762,0.0000,1.0000,1.0000,0.00,-0.00,-0.0000,559
pixel_0222,,,763,0.0000,0.9992,1.0000,0.00,-0.00,-0.0000,560
pixel_0746,,,384,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,561
pixel_0409,,,227,0.0010,1.0000,1.0000,0.00,-0.00,-0.0000,562
pixel_0621,,,312,0.0008,0.9999,1.0000,0.00,-0.00,-0.0000,563
pixel_0703,[T],,297,0.0008,1.0000,1.0000,0.00,-0.00,-0.0000,564
pixel_0768,,,571,0.0003,1.0000,1.0000,0.00,-0.00,-0.0000,565
pixel_0284,,,255,0.0009,0.9999,1.0000,0.00,-0.00,-0.0000,566
pixel_0402,,,450,0.0005,1.0000,1.0000,0.00,-0.00,-0.0000,567
pixel_0082,,,725,0.0001,0.9933,1.0000,0.00,-0.00,-0.0000,568
pixel_0679,,,310,0.0008,1.0000,1.0000,0.00,-0.00,-0.0000,569
pixel_0635,,,143,0.0014,1.0000,1.0000,0.00,-0.00,-0.0000,570
pixel_0613,,,345,0.0007,1.0000,1.0000,0.00,-0.00,-0.0000,571
pixel_0137,[T],,546,0.0004,0.9999,1.0000,0.00,-0.00,-0.0000,572
pixel_0698,,,204,0.0011,1.0000,1.0000,0.00,-0.00,-0.0000,573
pixel_0733,,,180,0.0012,0.9950,1.0000,0.00,-0.00,-0.0000,574
pixel_0121,,,338,0.0007,0.9987,1.0000,0.00,-0.00,-0.0000,575
pixel_0029,,,397,0.0006,1.0000,1.0000,0.00,-0.00,-0.0000,576
pixel_0178,,,566,0.0003,0.9999,1.0000,0.00,-0.00,-0.0000,577
pixel_0436,,,367,0.0007,0.9997,1.0000,0.00,-0.00,-0.0000,578
pixel_0001,,,518,0.0004,1.0000,1.0000,0.00,-0.00,-0.0000,579
pixel_0161,,,21,0.0033,0.9987,1.0000,0.00,-0.00,-0.0000,580
pixel_0540,[T],,666,0.0002,1.0000,1.0000,0.00,-0.00,-0.0000,581
pixel_0700,[T],,291,0.0008,0.9999,1.0000,0.00,-0.00,-0.0000,582
pixel_0146,,,83,0.0018,1.0000,1.0000,0.00,-0.00,-0.0000,583
pixel_0585,,,404,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,584
pixel_0063,,,216,0.0010,0.9999,1.0000,0.00,-0.00,-0.0000,585
pixel_0033,,,615,0.0003,1.0000,1.0000,0.00,-0.00,-0.0000,586
pixel_0651,,,405,0.0006,1.0000,1.0000,0.00,-0.00,-0.0000,587
pixel_0051,,,582,0.0003,1.0000,1.0000,0.00,-0.00,-0.0000,588
pixel_0595,,,570,0.0003,0.9753,1.0000,0.01,-0.00,-0.0000,589
pixel_0474,,,544,0.0004,1.0000,1.0000,0.00,-0.00,-0.0000,590
pixel_0627,,,532,0.0004,0.9848,1.0000,0.01,-0.00,-0.0000,591
pixel_0053,,,724,0.0001,0.9904,1.0000,0.00,-0.00,-0.0000,592
pixel_0086,,,699,0.0001,1.0000,1.0000,-0.00,-0.00,-0.0000,593
pixel_0116,,,687,0.0002,1.0000,1.0000,0.00,-0.00,-0.0000,594
pixel_0023,,,517,0.0004,0.9921,1.0000,0.00,-0.00,-0.0000,595
pixel_0736,,,610,0.0003,0.9919,1.0000,0.00,-0.00,-0.0000,596
pixel_0422,,,200,0.0011,0.9993,1.0000,0.00,-0.00,-0.0000,597
pixel_0605,,,647,0.0002,1.0000,1.0000,0.00,-0.00,-0.0000,598
pixel_0468,,,439,0.0005,0.9957,1.0000,0.00,-0.00,-0.0000,599
pixel_0744,,,94,0.0017,1.0000,1.0000,0.00,-0.00,-0.0000,600
pixel_0117,,,419,0.0006,0.9998,1.0000,0.00,-0.00,-0.0000,601
pixel_0550,,,561,0.0003,1.0000,1.0000,0.00,-0.00,-0.0000,602
pixel_0756,,,767,0.0000,1.0000,1.0000,0.00,-0.00,-0.0000,603
pixel_0094,,,512,0.0004,1.0000,1.0000,0.00,-0.00,-0.0000,604
pixel_0036,,,525,0.0004,0.9994,1.0000,0.00,-0.00,-0.0000,605
pixel_0778,,,601,0.0003,1.0000,1.0000,0.00,-0.00,-0.0000,606
pixel_0160,,,768,0.0000,1.0000,1.0000,0.00,-0.00,-0.0000,607
pixel_0059,,,252,0.0009,0.9998,1.0000,0.00,-0.00,-0.0000,608
pixel_0481,,,756,0.0000,0.9999,1.0000,0.00,-0.00,-0.0000,609
pixel_0641,,,2,0.0075,1.0000,1.0000,0.00,-0.00,-0.0000,610
pixel_0021,,,514,0.0004,1.0000,1.0000,0.00,-0.00,-0.0000,611
pixel_0291,,,280,0.0009,0.9988,1.0000,0.00,-0.00,-0.0000,612
pixel_0502,,,175,0.0012,0.9227,1.0000,0.03,-0.00,-0.0000,613
pixel_0638,,,628,0.0002,0.9989,1.0000,0.00,-0.00,-0.0000,614
pixel_0373,,,72,0.0019,0.9996,1.0000,0.00,-0.00,-0.0000,615
pixel_0551,,,96,0.0017,0.9935,1.0000,0.00,-0.00,-0.0000,616
pixel_0587,,,32,0.0029,0.9978,1.0000,0.00,-0.00,-0.0000,617
pixel_0081,,,168,0.0012,0.9998,1.0000,0.00,-0.00,-0.0000,618
pixel_0473,,,268,0.0009,0.9989,1.0000,0.00,-0.00,-0.0000,619
pixel_0506,,,748,0.0000,0.9951,1.0000,0.00,-0.00,-0.0000,620
pixel_0760,,,648,0.0002,0.9262,1.0000,0.03,-0.00,-0.0000,621
pixel_0149,,,636,0.0002,0.9997,1.0000,0.00,-0.00,-0.0000,622
pixel_0389,,,77,0.0018,0.9973,1.0000,0.00,-0.00,-0.0000,623
pixel_0394,,,78,0.0018,0.9527,1.0000,0.02,-0.00,-0.0000,624
pixel_0098,,,414,0.0006,0.9999,1.0000,0.00,-0.00,-0.0000,625
pixel_0728,,,420,0.0006,1.0000,1.0000,0.00,-0.00,-0.0000,626
pixel_0629,,,533,0.0004,1.0000,1.0000,0.00,-0.00,-0.0000,627
pixel_0564,[T],,608,0.0003,0.9962,1.0000,0.00,-0.00,-0.0000,628
pixel_0588,,,179,0.0012,0.9981,1.0000,0.00,-0.00,-0.0000,629
pixel_0452,,,572,0.0003,0.9992,1.0000,0.00,-0.00,-0.0000,630
pixel_0399,,,86,0.0018,0.9999,1.0000,0.00,-0.00,-0.0000,631
pixel_0142,,,176,0.0012,1.0000,1.0000,0.00,-0.00,-0.0000,632
pixel_0576,,,127,0.0014,0.9999,1.0000,0.00,-0.00,-0.0000,633
pixel_0112,,,743,0.0000,0.9965,1.0000,0.00,-0.00,-0.0000,634
pixel_0097,,,709,0.0001,0.9705,1.0000,0.01,-0.00,-0.0000,635
pixel_0257,,,629,0.0002,0.9784,1.0000,0.01,-0.00,-0.0000,636
pixel_0751,,,502,0.0004,1.0000,1.0000,0.00,-0.00,-0.0000,637
pixel_0601,,,460,0.0005,1.0000,1.0000,0.00,-0.00,-0.0000,638
pixel_0024,,,585,0.0003,0.9861,1.0000,0.01,-0.00,-0.0000,639
pixel_0396,,,642,0.0002,1.0000,1.0000,0.00,-0.00,-0.0000,640
pixel_0037,,,352,0.0007,0.9780,1.0000,0.01,-0.00,-0.0000,641
pixel_0172,,,589,0.0003,0.9991,1.0000,0.00,-0.00,-0.0000,642
pixel_0358,,,408,0.0006,0.8242,1.0000,0.08,-0.00,-0.0000,643
pixel_0315,,,548,0.0004,0.9618,1.0000,0.02,-0.00,-0.0000,644
pixel_0162,,,202,0.0011,1.0000,1.0000,0.00,-0.00,-0.0000,645
pixel_0766,,,773,0.0000,0.9568,1.0000,0.02,-0.00,-0.0000,646
pixel_0328,,,313,0.0008,1.0000,1.0000,0.00,-0.00,-0.0000,647
pixel_0426,,,469,0.0005,0.9885,1.0000,0.01,-0.00,-0.0000,648
pixel_0159,,,381,0.0006,0.9988,1.0000,0.00,-0.00,-0.0000,649
pixel_0008,,,173,0.0012,0.9999,1.0000,0.00,-0.00,-0.0000,650
pixel_0643,,,704,0.0001,0.9527,1.0000,0.02,-0.00,-0.0000,651
pixel_0102,,,612,0.0003,0.9901,1.0000,0.00,-0.00,-0.0000,652
pixel_0571,,,145,0.0014,1.0000,1.0000,0.00,-0.00,-0.0000,653
pixel_0026,,,458,0.0005,0.9531,1.0000,0.02,-0.00,-0.0000,654
pixel_0589,,,25,0.0032,0.9875,1.0000,0.01,-0.00,-0.0000,655
pixel_0228,,,328,0.0008,0.9635,1.0000,0.02,-0.00,-0.0000,656
pixel_0729,,,476,0.0005,1.0000,1.0000,0.00,-0.00,-0.0000,657
pixel_0264,,,140,0.0014,0.9999,1.0000,0.00,-0.00,-0.0000,658
pixel_0773,,,645,0.0002,0.9998,1.0000,0.00,-0.00,-0.0000,659
pixel_0501,,,644,0.0002,0.9992,1.0000,0.00,-0.00,-0.0000,660
pixel_0714,[T],,713,0.0001,0.9605,1.0000,0.02,-0.00,-0.0000,661
pixel_0061,,,373,0.0006,0.9988,1.0000,0.00,-0.00,-0.0000,662
pixel_0694,,,6,0.0047,0.9999,1.0000,0.00,-0.00,-0.0000,663
pixel_0301,,,721,0.0001,0.9920,1.0000,0.00,-0.00,-0.0000,664
pixel_0454,,,754,0.0000,0.9990,1.0000,0.00,-0.00,-0.0000,665
pixel_0626,,,208,0.0011,1.0000,1.0000,0.00,-0.00,-0.0000,666
pixel_0590,,,671,0.0002,0.9827,1.0000,0.01,-0.00,-0.0000,667
pixel_0472,,,431,0.0006,0.9964,1.0000,0.00,-0.00,-0.0000,668
pixel_0689,,,103,0.0016,0.9527,1.0000,0.02,-0.00,-0.0000,669
pixel_0192,,,755,0.0000,0.9954,1.0000,0.00,-0.00,-0.0000,670
pixel_0281,,,34,0.0029,0.9994,1.0000,0.00,-0.00,-0.0000,671
pixel_0208,,,492,0.0005,0.9999,1.0000,0.00,-0.00,-0.0000,672
pixel_0219,,,706,0.0001,0.9934,1.0000,0.00,-0.00,-0.0000,673
pixel_0604,,,511,0.0004,1.0000,1.0000,0.00,-0.00,-0.0000,674
pixel_0213,[T],,288,0.0008,0.9973,1.0000,0.00,-0.00,-0.0000,675
pixel_0093,[T],,506,0.0004,0.9580,1.0000,0.02,-0.00,-0.0000,676
pixel_0099,,,376,0.0006,0.9768,1.0000,0.01,-0.00,-0.0000,677
pixel_0462,,,442,0.0005,0.9901,1.0000,0.00,-0.00,-0.0000,678
pixel_0207,[T],,654,0.0002,1.0000,1.0000,0.00,-0.00,-0.0000,679
pixel_0578,,,630,0.0002,0.7106,1.0000,0.15,-0.00,-0.0000,680
pixel_0594,,,468,0.0005,0.9910,1.0000,0.00,-0.00,-0.0000,681
pixel_0002,,,407,0.0006,0.9591,1.0000,0.02,-0.00,-0.0000,682
pixel_0713,,,316,0.0008,0.9795,1.0000,0.01,-0.00,-0.0000,683
pixel_0610,,,509,0.0004,0.9518,1.0000,0.02,-0.00,-0.0000,684
pixel_0401,,,9,0.0041,0.8723,1.0000,0.06,-0.00,-0.0000,685
pixel_0603,,,363,0.0007,0.9756,1.0000,0.01,-0.00,-0.0000,686
pixel_0673,,,478,0.0005,0.6554,1.0000,0.18,-0.00,-0.0000,687
pixel_0541,,,108,0.0016,0.5395,1.0000,0.27,-0.00,-0.0000,688
pixel_0683,,,464,0.0005,0.7127,1.0000,0.15,-0.00,-0.0000,689
pixel_0359,,,530,0.0004,0.8879,1.0000,0.05,-0.00,-0.0000,690
pixel_0032,,,457,0.0005,0.9286,1.0000,0.03,-0.00,-0.0000,691
pixel_0675,,,41,0.0027,1.0000,1.0000,0.00,-0.00,-0.0000,692
pixel_0776,,,119,0.0015,0.9502,1.0000,0.02,-0.00,-0.0000,693
pixel_0377,,,99,0.0017,0.9960,1.0000,0.00,-0.00,-0.0000,694
pixel_0499,,,536,0.0004,0.9856,1.0000,0.01,-0.00,-0.0000,695
pixel_0636,,,253,0.0009,0.9722,1.0000,0.01,-0.00,-0.0000,696
pixel_0720,,,226,0.0010,0.9198,1.0000,0.04,-0.00,-0.0000,697
pixel_0234,[T],,221,0.0010,0.9998,1.0000,0.00,-0.00,-0.0000,698
pixel_0482,,,626,0.0002,0.5922,1.0000,0.23,-0.00,-0.0000,699
pixel_0769,,,700,0.0001,0.9999,1.0000,0.00,-0.00,-0.0000,700
pixel_0439,,,617,0.0003,0.6179,1.0000,0.21,-0.00,-0.0000,701
pixel_0065,,,389,0.0006,0.7148,1.0000,0.15,-0.00,-0.0000,702
pixel_0124,,,734,0.0001,0.6871,1.0000,0.16,-0.00,-0.0000,703
pixel_0317,,,635,0.0002,0.9736,1.0000,0.01,-0.00,-0.0000,704
pixel_0104,,,211,0.0011,1.0000,1.0000,0.00,-0.00,-0.0000,705
pixel_0671,,,707,0.0001,0.7864,1.0000,0.10,-0.00,-0.0000,706
pixel_0467,,,451,0.0005,0.9984,1.0000,0.00,-0.00,-0.0000,707
pixel_0395,,,256,0.0009,0.8339,1.0000,0.08,-0.00,-0.0000,708
pixel_0345,,,76,0.0018,0.9978,1.0000,0.00,-0.00,-0.0000,709
pixel_0739,,,98,0.0017,0.7970,1.0000,0.10,-0.00,-0.0000,710
pixel_0730,,,189,0.0011,0.9497,1.0000,0.02,-0.00,-0.0000,711
pixel_0398,,,298,0.0008,0.9799,1.0000,0.01,-0.00,-0.0000,712
pixel_0492,,,24,0.0032,0.9895,1.0000,0.00,-0.00,-0.0000,713
pixel_0030,,,515,0.0004,0.8959,1.0000,0.05,-0.00,-0.0000,714
pixel_0435,,,538,0.0004,0.9991,1.0000,0.00,-0.00,-0.0000,715
pixel_0508,,,197,0.0011,0.9880,1.0000,0.01,-0.00,-0.0000,716
pixel_0177,,,658,0.0002,0.9783,1.0000,0.01,-0.00,-0.0000,717
pixel_0215,,,85,0.0018,0.9670,1.0000,0.01,-0.00,-0.0000,718
pixel_0261,,,185,0.0011,0.8536,1.0000,0.07,-0.00,-0.0000,719
pixel_0466,,,236,0.0010,0.9803,1.0000,0.01,-0.00,-0.0000,720
pixel_0483,,,501,0.0004,0.9716,1.0000,0.01,-0.00,-0.0000,721
pixel_0352,[T],,61,0.0021,0.8693,1.0000,0.06,-0.00,-0.0000,722
pixel_0386,,,124,0.0015,0.5296,1.0000,0.28,-0.00,-0.0000,723
pixel_0091,,,59,0.0021,0.8001,1.0000,0.10,-0.00,-0.0000,724
pixel_0680,,,104,0.0016,0.8184,1.0000,0.09,-0.00,-0.0000,725
pixel_0512,,,215,0.0010,0.9680,1.0000,0.01,-0.00,-0.0000,726
pixel_0688,,,139,0.0014,0.8819,1.0000,0.05,-0.00,-0.0000,727
pixel_0248,,,320,0.0008,0.9810,1.0000,0.01,-0.00,-0.0000,728
pixel_0734,,,573,0.0003,0.8675,1.0000,0.06,-0.00,-0.0000,729
pixel_0009,,,542,0.0004,0.7557,1.0000,0.12,-0.00,-0.0000,730
pixel_0653,,,487,0.0005,0.9863,1.0000,0.01,-0.00,-0.0000,731
pixel_0690,,,319,0.0008,0.9976,1.0000,0.00,-0.00,-0.0000,732
pixel_0735,,,695,0.0001,0.8935,1.0000,0.05,-0.00,-0.0000,733
pixel_0119,,,625,0.0002,0.8230,1.0000,0.08,-0.00,-0.0000,734
pixel_0525,,,462,0.0005,0.8613,1.0000,0.06,-0.00,-0.0000,735
pixel_0163,,,455,0.0005,0.6956,1.0000,0.16,-0.00,-0.0000,736
pixel_0333,,,603,0.0003,0.9660,1.0000,0.02,-0.00,-0.0000,737
pixel_0677,,,160,0.0013,0.9848,1.0000,0.01,-0.00,-0.0000,738
pixel_0598,,,683,0.0002,0.6816,1.0000,0.17,-0.00,-0.0000,739
pixel_0555,,,488,0.0005,1.0000,1.0000,0.00,-0.00,-0.0000,740
pixel_0249,,,301,0.0008,0.9890,1.0000,0.00,-0.00,-0.0000,741
pixel_0782,,,287,0.0008,0.8377,1.0000,0.08,-0.00,-0.0000,742
pixel_0039,,,782,0.0000,0.5822,1.0000,0.23,-0.00,-0.0000,743
pixel_0667,,,270,0.0009,0.9906,1.0000,0.00,-0.00,-0.0000,744
pixel_0517,,,599,0.0003,0.9587,1.0000,0.02,-0.00,-0.0000,745
