Feature,True,Sig,SHAP_Rank,SHAP_Value,P_Value,P_Value_Adj,-log10(p),-log10(p_adj),SiTe_Score,SiTe_Rank
pixel_0266,,***,529,0.0004,5.04e-07,2.45e-06,6.30,5.61,0.0053,193
pixel_0718,,***,264,0.0009,5.76e-06,2.34e-05,5.24,4.63,0.0053,194
pixel_0433,,***,14,0.0036,3.38e-05,1.22e-04,4.47,3.91,0.0051,195
pixel_0290,,***,426,0.0006,2.84e-05,1.03e-04,4.55,3.99,0.0049,196
pixel_0210,,***,326,0.0008,5.04e-05,1.77e-04,4.30,3.75,0.0049,197
pixel_0179,,***,306,0.0008,7.79e-06,3.13e-05,5.11,4.50,0.0048,198
pixel_0719,,***,177,0.0012,2.55e-06,1.12e-05,5.59,4.95,0.0048,199
pixel_0115,,***,418,0.0006,1.36e-05,5.27e-05,4.87,4.28,0.0048,200
pixel_0428,,***,703,0.0001,1.60e-06,7.11e-06,5.79,5.15,0.0048,201
pixel_0511,,***,770,0.0000,4.94e-06,2.04e-05,5.31,4.69,0.0047,202
pixel_0549,,***,311,0.0008,2.64e-06,1.14e-05,5.58,4.94,0.0047,203
pixel_0536,,***,769,0.0000,9.94e-06,3.98e-05,5.00,4.40,0.0044,204
pixel_0067,,***,412,0.0006,3.69e-05,1.32e-04,4.43,3.88,0.0043,205
pixel_0755,,***,219,0.0010,5.64e-06,2.30e-05,5.25,4.64,0.0043,206
pixel_0226,,***,133,0.0014,1.44e-05,5.52e-05,4.84,4.26,0.0043,207
pixel_0707,,***,519,0.0004,4.04e-06,1.71e-05,5.39,4.77,0.0043,208
pixel_0392,,***,527,0.0004,2.69e-05,9.85e-05,4.57,4.01,0.0043,209
pixel_0214,,***,670,0.0002,2.76e-05,1.01e-04,4.56,4.00,0.0042,210
pixel_0547,,***,154,0.0013,7.00e-05,2.42e-04,4.15,3.62,0.0041,211
pixel_0043,,***,772,0.0000,1.88e-05,7.03e-05,4.73,4.15,0.0041,212
pixel_0299,,***,348,0.0007,4.30e-05,1.53e-04,4.37,3.82,0.0041,213
pixel_0496,,***,524,0.0004,1.26e-05,4.91e-05,4.90,4.31,0.0040,214
pixel_0049,,***,218,0.0010,4.54e-06,1.88e-05,5.34,4.72,0.0040,215
pixel_0233,,***,479,0.0005,1.43e-05,5.52e-05,4.84,4.26,0.0040,216
pixel_0470,,***,258,0.0009,5.46e-06,2.24e-05,5.26,4.65,0.0039,217
pixel_0573,,***,289,0.0008,1.46e-04,4.81e-04,3.84,3.32,0.0039,218
pixel_0519,,***,293,0.0008,2.40e-05,8.89e-05,4.62,4.05,0.0039,219
pixel_0612,,***,526,0.0004,1.97e-04,6.40e-04,3.71,3.19,0.0038,220
pixel_0665,,***,213,0.0011,9.81e-05,3.32e-04,4.01,3.48,0.0037,221
pixel_0581,,***,13,0.0037,1.01e-05,4.02e-05,4.99,4.40,0.0037,222
pixel_0310,,***,639,0.0002,4.72e-05,1.67e-04,4.33,3.78,0.0037,223
pixel_0420,,***,199,0.0011,3.77e-04,0.0012,3.42,2.92,0.0037,224
pixel_0069,,***,262,0.0009,2.46e-05,9.04e-05,4.61,4.04,0.0036,225
pixel_0139,,***,344,0.0007,1.67e-05,6.35e-05,4.78,4.20,0.0036,226
pixel_0193,,***,222,0.0010,2.24e-05,8.32e-05,4.65,4.08,0.0036,227
pixel_0369,,***,329,0.0008,2.68e-04,8.67e-04,3.57,3.06,0.0036,228
pixel_0245,,***,543,0.0004,1.97e-04,6.40e-04,3.71,3.19,0.0036,229
pixel_0031,,***,732,0.0001,6.59e-05,2.29e-04,4.18,3.64,0.0035,230
pixel_0329,,***,186,0.0011,3.09e-05,1.12e-04,4.51,3.95,0.0035,231
pixel_0320,[T],***,742,0.0000,7.10e-05,2.44e-04,4.15,3.61,0.0034,232
pixel_0236,,***,385,0.0006,8.76e-05,2.99e-04,4.06,3.52,0.0034,233
pixel_0307,,***,248,0.0009,4.05e-05,1.44e-04,4.39,3.84,0.0034,234
pixel_0565,,***,500,0.0004,5.47e-05,1.92e-04,4.26,3.72,0.0034,235
pixel_0500,,***,386,0.0006,1.64e-04,5.37e-04,3.79,3.27,0.0033,236
pixel_0476,,***,235,0.0010,1.03e-04,3.46e-04,3.99,3.46,0.0032,237
pixel_0241,,***,81,0.0018,8.37e-05,2.87e-04,4.08,3.54,0.0031,238
pixel_0695,,***,765,0.0000,1.26e-04,4.20e-04,3.90,3.38,0.0031,239
pixel_0697,,***,722,0.0001,3.25e-04,0.0010,3.49,2.98,0.0031,240
pixel_0258,,***,217,0.0010,0.0014,0.0043,2.84,2.36,0.0029,241
pixel_0772,,***,265,0.0009,9.68e-05,3.29e-04,4.01,3.48,0.0029,242
pixel_0469,,***,57,0.0022,1.29e-04,4.28e-04,3.89,3.37,0.0029,243
pixel_0000,,***,415,0.0006,1.02e-04,3.42e-04,3.99,3.47,0.0027,244
pixel_0224,,***,33,0.0029,3.47e-04,0.0011,3.46,2.96,0.0026,245
pixel_0154,,***,196,0.0011,3.04e-04,9.80e-04,3.52,3.01,0.0026,246
pixel_0749,,***,147,0.0014,1.20e-04,3.99e-04,3.92,3.40,0.0026,247
pixel_0725,,***,323,0.0008,0.0013,0.0040,2.88,2.40,0.0025,248
pixel_0696,,***,463,0.0005,0.0011,0.0033,2.97,2.48,0.0025,249
pixel_0715,,***,436,0.0006,0.0024,0.0071,2.62,2.15,0.0024,250
pixel_0014,[T],***,303,0.0008,9.54e-04,0.0029,3.02,2.53,0.0024,251
pixel_0618,,***,441,0.0005,7.63e-04,0.0024,3.12,2.62,0.0023,252
pixel_0362,,***,375,0.0006,0.0176,0.0448,1.75,1.35,0.0023,253
pixel_0644,,***,661,0.0002,0.0028,0.0083,2.55,2.08,0.0023,254
pixel_0013,,***,65,0.0021,0.0030,0.0087,2.53,2.06,0.0022,255
pixel_0440,,***,346,0.0007,5.88e-04,0.0019,3.23,2.73,0.0022,256
pixel_0202,,***,371,0.0006,5.89e-04,0.0019,3.23,2.73,0.0022,257
pixel_0535,,***,563,0.0003,0.0023,0.0068,2.65,2.17,0.0022,258
pixel_0490,,***,169,0.0012,3.06e-04,9.82e-04,3.51,3.01,0.0021,259
pixel_0747,,***,136,0.0014,7.87e-04,0.0025,3.10,2.61,0.0021,260
pixel_0568,,***,672,0.0002,8.98e-04,0.0028,3.05,2.56,0.0020,261
pixel_0752,,***,477,0.0005,0.0012,0.0036,2.93,2.44,0.0020,262
pixel_0339,,***,17,0.0035,0.0013,0.0040,2.88,2.40,0.0019,263
pixel_0138,,***,650,0.0002,0.0023,0.0068,2.64,2.17,0.0019,264
pixel_0255,,***,541,0.0004,8.43e-04,0.0026,3.07,2.58,0.0018,265
pixel_0674,,***,281,0.0009,0.0023,0.0069,2.63,2.16,0.0018,266
pixel_0563,,***,242,0.0009,0.0023,0.0068,2.65,2.17,0.0018,267
pixel_0191,[T],***,374,0.0006,0.0105,0.0282,1.98,1.55,0.0018,268
pixel_0493,,***,105,0.0016,0.0048,0.0134,2.32,1.87,0.0018,269
pixel_0286,,***,128,0.0014,0.0030,0.0089,2.52,2.05,0.0017,270
pixel_0265,,***,325,0.0008,0.0033,0.0096,2.48,2.02,0.0017,271
pixel_0561,,***,121,0.0015,0.0071,0.0197,2.15,1.71,0.0017,272
pixel_0205,,***,260,0.0009,0.0084,0.0229,2.08,1.64,0.0017,273
pixel_0489,,***,39,0.0028,0.0033,0.0095,2.48,2.02,0.0017,274
pixel_0400,,***,444,0.0005,0.0031,0.0090,2.51,2.04,0.0017,275
pixel_0230,,***,333,0.0007,0.0128,0.0338,1.89,1.47,0.0017,276
pixel_0090,,***,662,0.0002,0.0044,0.0126,2.35,1.90,0.0016,277
pixel_0111,,***,44,0.0027,0.0020,0.0061,2.69,2.21,0.0016,278
pixel_0004,,***,162,0.0013,0.0025,0.0074,2.60,2.13,0.0016,279
pixel_0478,,***,206,0.0011,0.0151,0.0388,1.82,1.41,0.0016,280
pixel_0035,,***,91,0.0017,0.0046,0.0130,2.34,1.89,0.0016,281
pixel_0682,,***,528,0.0004,0.0034,0.0099,2.46,2.01,0.0016,282
pixel_0704,,***,342,0.0007,0.0137,0.0358,1.86,1.45,0.0015,283
pixel_0510,[T],***,370,0.0007,0.0068,0.0189,2.17,1.72,0.0015,284
pixel_0272,,***,633,0.0002,0.0074,0.0204,2.13,1.69,0.0015,285
pixel_0543,,***,417,0.0006,0.0070,0.0195,2.15,1.71,0.0015,286
pixel_0646,,***,283,0.0009,0.0046,0.0130,2.34,1.89,0.0015,287
pixel_0438,,***,95,0.0017,0.0066,0.0184,2.18,1.74,0.0015,288
pixel_0085,,***,151,0.0013,0.0132,0.0346,1.88,1.46,0.0015,289
pixel_0356,,***,48,0.0025,0.0082,0.0224,2.09,1.65,0.0015,290
pixel_0574,,***,171,0.0012,0.0037,0.0105,2.44,1.98,0.0015,291
pixel_0522,,***,587,0.0003,0.0104,0.0281,1.98,1.55,0.0014,292
pixel_0562,,***,759,0.0000,0.0062,0.0173,2.21,1.76,0.0014,293
pixel_0106,,***,337,0.0007,0.0090,0.0245,2.04,1.61,0.0014,294
pixel_0218,,***,741,0.0000,0.0085,0.0231,2.07,1.64,0.0014,295
pixel_0114,,***,424,0.0006,0.0111,0.0296,1.96,1.53,0.0014,296
pixel_0216,,***,243,0.0009,0.0130,0.0344,1.89,1.46,0.0013,297
pixel_0095,,***,760,0.0000,0.0157,0.0403,1.80,1.39,0.0013,298
pixel_0296,,***,354,0.0007,0.0173,0.0443,1.76,1.35,0.0013,299
pixel_0685,,***,209,0.0011,0.0045,0.0127,2.35,1.90,0.0013,300
pixel_0750,,***,67,0.0020,0.0132,0.0346,1.88,1.46,0.0012,301
pixel_0731,,***,535,0.0004,0.0123,0.0326,1.91,1.49,0.0012,302
pixel_0607,,,305,0.0008,0.0223,0.0553,1.65,1.26,0.0012,303
pixel_0753,,***,403,0.0006,0.0193,0.0487,1.71,1.31,0.0011,304
pixel_0424,,,757,0.0000,0.0272,0.0670,1.57,1.17,0.0011,305
pixel_0180,,***,379,0.0006,0.0198,0.0497,1.70,1.30,0.0011,306
pixel_0388,,,188,0.0011,0.0244,0.0604,1.61,1.22,0.0011,307
pixel_0533,,,263,0.0009,0.0283,0.0690,1.55,1.16,0.0011,308
pixel_0655,,***,406,0.0006,0.0148,0.0384,1.83,1.42,0.0011,309
pixel_0711,,,685,0.0002,0.0212,0.0529,1.67,1.28,0.0011,310
pixel_0518,,***,234,0.0010,0.0144,0.0374,1.84,1.43,0.0010,311
pixel_0282,,***,758,0.0000,0.0159,0.0407,1.80,1.39,0.0010,312
pixel_0504,,,142,0.0014,0.0325,0.0790,1.49,1.10,0.0010,313
pixel_0759,,***,668,0.0002,0.0100,0.0271,2.00,1.57,0.0010,314
pixel_0743,,,656,0.0002,0.0335,0.0812,1.47,1.09,0.0010,315
pixel_0425,,***,555,0.0003,0.0145,0.0376,1.84,1.42,0.0010,316
pixel_0303,,***,146,0.0014,0.0116,0.0310,1.93,1.51,0.0009,317
pixel_0068,,,494,0.0005,0.0615,0.1422,1.21,0.85,0.0009,318
pixel_0577,,***,167,0.0013,0.0183,0.0464,1.74,1.33,0.0009,319
pixel_0530,,,714,0.0001,0.0349,0.0836,1.46,1.08,0.0008,320
pixel_0103,,***,238,0.0010,0.0188,0.0476,1.73,1.32,0.0008,321
pixel_0227,,,106,0.0016,0.0348,0.0836,1.46,1.08,0.0008,322
pixel_0419,,,195,0.0011,0.0208,0.0522,1.68,1.28,0.0008,323
pixel_0648,,,201,0.0011,0.0222,0.0553,1.65,1.26,0.0008,324
pixel_0133,[T],,15,0.0036,0.0278,0.0682,1.56,1.17,0.0008,325
pixel_0640,,,720,0.0001,0.0325,0.0790,1.49,1.10,0.0008,326
